Fruit,Temp,Humid (%),Light (Lux),VPD,Class
Orange,22,95,7.358649263,0.132196559610529,Good
Orange,24,95,14.83589827,0.14919587385827793,Bad
Pineapple,25,95,10.10404473,0.1583888858753424,Bad
Banana,25,89,20.17964285,0.34845554892575326,Good
Tomato,23,90,12.62144823,0.28094376223970663,Good
Orange,23,95,5.809598838,0.14047188111985376,Good
Pineapple,25,95,10.28117628,0.1583888858753424,Bad
Tomato,25,95,14.67251295,0.1583888858753424,Bad
Banana,24,95,19.00030193,0.14919587385827793,BAD
Pineapple,24,95,14.51078894,0.14919587385827793,Good
Tomato,26,93,6.613669965,0.23530078800217913,Good
Pineapple,22,84,12.34050263,0.4230289907536924,Good
Pineapple,25,95,12.27113269,0.1583888858753424,Bad
Orange,24,95,16.38466179,0.14919587385827793,Bad
Tomato,24,93,10.58215896,0.208874223401589,Good
Tomato,24,95,16.29477154,0.14919587385827793,Bad
Orange,22,95,6.613669965,0.132196559610529,Good
Pineapple,24,95,14.1136139,0.14919587385827793,Good
Tomato,25,95,13.80304952,0.1583888858753424,Bad
Pineapple,23,93,12.62144823,0.19666063356779473,Good
Pineapple,25,95,11.46485093,0.1583888858753424,Bad
Orange,23,95,8.775098629,0.14047188111985376,Good
Orange,22,95,7.969740423,0.132196559610529,Good
Banana,26,90,19.95991509,0.33614398286025615,Good
Tomato,23,87,6.48823229,0.365226890911619,Good
Tomato,23,91,9.987371503,0.25284938601573614,Good
Orange,24,95,14.91822038,0.14919587385827793,Bad
Tomato,22,93,11.92938136,0.18507518345474017,Good
Tomato,23,89,8.619414571,0.30903813846367756,Good
Banana,24,94,19.20950925,0.1790350486299337,Good
Orange,22,95,4.538130868,0.132196559610529,Good
Pineapple,22,91,12.76402932,0.23795380729895177,Good
Tomato,24,92,11.20647613,0.23871339817324477,Good
Banana,24,86,13.57421101,0.41774844680317846,Good
Pineapple,24,95,14.1136139,0.14919587385827793,Good
Tomato,26,88,7.450253315,0.40337277943230765,Good
Orange,24,95,14.83589827,0.14919587385827793,Bad
Orange,22,95,7.450253315,0.132196559610529,Good
Banana,24,95,12.48027818,0.14919587385827793,BAD
Orange,23,95,6.655874013,0.14047188111985376,Good
Banana,25,89,19.31496687,0.34845554892575326,Good
Pineapple,25,95,11.20647613,0.1583888858753424,Bad
Tomato,23,90,12.90803823,0.28094376223970663,Good
Pineapple,25,95,11.59594835,0.1583888858753424,Bad
Tomato,25,95,12.98058343,0.1583888858753424,Bad
Orange,22,95,6.740875089,0.132196559610529,Good
Banana,25,86,13.65010619,0.4434888804509587,Good
Orange,22,95,8.516848104,0.132196559610529,Good
Tomato,23,89,8.568009903,0.30903813846367756,Good
Tomato,24,95,16.02789778,0.14919587385827793,Bad
Orange,22,95,7.000692513,0.132196559610529,Good
Orange,22,95,6.826673276,0.132196559610529,Good
Orange,23,95,4.47356027,0.14047188111985376,Good
Pineapple,23,82,12.62144823,0.5056987720314727,Good
Orange,22,95,7.404343951,0.132196559610529,Good
Tomato,23,91,13.42356205,0.25284938601573614,Good
Pineapple,25,95,11.39978246,0.1583888858753424,Bad
Orange,24,95,15.25176672,0.14919587385827793,Bad
Orange,24,95,16.02789778,0.14919587385827793,Bad
Banana,25,86,13.57421101,0.4434888804509587,Good
Orange,23,95,14.75399666,0.14047188111985376,Bad
Orange,22,95,6.364536513,0.132196559610529,Good
Tomato,23,90,12.48027818,0.28094376223970663,Good
Orange,23,95,4.904260592,0.14047188111985376,Good
Banana,24,95,16.38466179,0.14919587385827793,BAD
Tomato,24,95,14.35070581,0.14919587385827793,Good
Banana,24,95,12.48027818,0.14919587385827793,BAD
Orange,24,95,16.29477154,0.14919587385827793,Bad
Banana,25,86,13.72638492,0.4434888804509587,Good
Tomato,24,95,11.99705843,0.14919587385827793,Bad
Tomato,24,95,16.29477154,0.14919587385827793,Bad
Orange,23,95,15.50647254,0.14047188111985376,Bad
Pineapple,25,95,11.59594835,0.1583888858753424,Bad
Orange,22,95,9.039550676,0.132196559610529,Good
Banana,25,85,13.72638492,0.47516665762602717,Good
Orange,24,95,14.75399666,0.14919587385827793,Bad
Banana,26,95,17.21524677,0.16807199143012852,Good
Orange,22,95,7.873279406,0.132196559610529,Good
Banana,25,86,13.27441976,0.4434888804509587,Good
Pineapple,25,95,11.01598084,0.1583888858753424,Bad
Orange,24,95,15.08413665,0.14919587385827793,Bad
Banana,24,95,12.55068787,0.14919587385827793,BAD
Tomato,23,90,12.69256136,0.28094376223970663,Good
Banana,26,94,14.43054353,0.20168638971615405,Good
Tomato,23,90,12.55068787,0.28094376223970663,Good
Orange,22,95,7.0889296,0.132196559610529,Good
Tomato,25,95,15.42113219,0.1583888858753424,Bad
Orange,23,95,4.904260592,0.14047188111985376,Good
Banana,25,89,19.10462223,0.34845554892575326,Good
Tomato,26,94,6.48823229,0.20168638971615405,Good
Pineapple,22,95,12.90803823,0.132196559610529,Good
Orange,22,95,6.740875089,0.132196559610529,Good
Orange,23,95,14.59144457,0.14047188111985376,Bad
Orange,23,95,4.702223982,0.14047188111985376,Good
Tomato,22,90,13.20040797,0.26439311922105757,Good
Pineapple,25,95,9.987371503,0.1583888858753424,Bad
Tomato,24,95,12.98058343,0.14919587385827793,Bad
Tomato,26,91,6.956882353,0.3025295845742306,Good
Banana,24,95,16.74896501,0.14919587385827793,BAD
Banana,26,91,20.40179801,0.3025295845742306,Good
Tomato,23,91,8.364807255,0.25284938601573614,Good
Tomato,24,89,13.20040797,0.3282309224882116,Good
Pineapple,22,95,12.69256136,0.132196559610529,Good
Tomato,23,90,12.76402932,0.28094376223970663,Good
Banana,26,95,20.85352641,0.16807199143012852,Good
Pineapple,24,95,14.03538213,0.14919587385827793,Good
Pineapple,24,95,14.1136139,0.14919587385827793,Good
Orange,24,95,16.74896501,0.14919587385827793,Bad
Banana,26,90,19.20950925,0.33614398286025615,Good
Orange,23,95,4.441500903,0.14047188111985376,Good
Tomato,25,95,12.90803823,0.1583888858753424,Bad
Orange,22,95,6.869873736,0.132196559610529,Good
Banana,26,95,17.40523312,0.16807199143012852,Good
Orange,24,95,14.83589827,0.14919587385827793,Bad
Tomato,24,88,10.28117628,0.35807009725986694,Good
Banana,25,89,19.00030193,0.34845554892575326,Good
Orange,23,95,4.904260592,0.14047188111985376,Good
Banana,24,95,12.48027818,0.14919587385827793,BAD
Pineapple,25,95,10.04556771,0.1583888858753424,Bad
Orange,22,95,7.404343951,0.132196559610529,Good
Orange,23,95,14.43054353,0.14047188111985376,Bad
Orange,24,95,14.75399666,0.14919587385827793,Bad
Pineapple,22,95,12.90803823,0.132196559610529,Good
Pineapple,23,92,12.76402932,0.22475500979176521,Good
Banana,24,95,13.27441976,0.14919587385827793,BAD
Orange,24,95,14.91822038,0.14919587385827793,Bad
Tomato,26,87,7.542720421,0.4369871777183332,Good
Orange,23,95,15.00096563,0.14047188111985376,Bad
Tomato,26,88,7.404343951,0.40337277943230765,Good
Orange,23,95,14.83589827,0.14047188111985376,Bad
Orange,24,95,14.91822038,0.14919587385827793,Bad
Orange,23,95,16.20534945,0.14047188111985376,Bad
Pineapple,22,95,13.80304952,0.132196559610529,Good
Tomato,23,92,10.22184745,0.22475500979176521,Good
Orange,22,95,7.133358572,0.132196559610529,Good
Tomato,23,91,8.465927903,0.25284938601573614,Good
Tomato,24,89,8.018312629,0.3282309224882116,Good
Pineapple,23,95,12.34050263,0.14047188111985376,Good
Orange,22,95,6.956882353,0.132196559610529,Good
Orange,22,95,6.613669965,0.132196559610529,Good
Orange,24,95,15.16773612,0.14919587385827793,Bad
Banana,26,95,13.95754575,0.16807199143012852,Good
Banana,24,88,14.59144457,0.35807009725986694,Good
Orange,24,95,15.00096563,0.14919587385827793,Bad
Orange,22,95,8.619414571,0.132196559610529,Good
Banana,25,89,19.95991509,0.34845554892575326,Good
Orange,23,95,15.59225501,0.14047188111985376,Bad
Pineapple,23,95,12.62144823,0.14047188111985376,Good
Orange,24,95,14.67251295,0.14919587385827793,Bad
Pineapple,25,95,12.62144823,0.1583888858753424,Bad
Tomato,23,87,6.529850053,0.365226890911619,Good
Tomato,24,95,16.11639251,0.14919587385827793,Bad
Tomato,23,89,8.0671142,0.30903813846367756,Good
